0,6875
1,63927
2,64080
3,63910
4,63986
5,63963
6,63990
7,64010
8,63995
9,63982
10,64100
11,63974
12,63958
13,63956
14,63976
15,63993
16,63994
17,64010
18,64027
19,63938
20,63987
21,63995
22,64004
23,63976
24,64012
25,63994
26,63968
27,63991
28,63990
29,64024
30,63979
31,63992
32,63974
33,63989
34,63983
35,64082
36,63911
37,64000
38,64032
39,63946
40,63982
41,64037
42,63965
43,64053
44,63934
45,63992
46,64043
47,64009
48,64008
49,64010
50,64009
51,63883
52,63972
53,64013
54,63969
55,64101
56,63972
57,63985
58,63987
59,64001
60,63924
61,63980
62,64028
63,63993
64,63960
65,64019
66,64092
67,63880
68,63975
69,64046
70,64081
71,64021
72,63838
73,64044
74,63929
75,63977
76,64068
77,63926
78,64007
79,64004
80,64095
81,63879
82,64059
83,63999
84,64080
85,63819
86,64003
87,64052
88,63970
89,64079
90,63916
91,63935
92,63989
93,64006
94,63992
95,64041
96,63933
97,63995
98,63990
99,64017
100,63976
101,63989
102,64000
103,64031
104,63972
105,63962
106,64063
107,63930
108,63992
109,64024
110,63953
111,64060
112,63935
113,64035
114,63959
115,63980
116,64128
117,63926
118,63926
119,64006
120,64074
121,63894
122,64010
123,64096
124,63887
125,63978
126,64024
127,63988
128,63965
129,64000
130,63984
131,64001
132,64001
133,64022
134,63958
135,64006
136,63976
137,63997
138,64001
139,63998
140,63975
141,64053
142,64013
143,63907
144,63993
145,64063
146,63930
147,63985
148,64040
149,63930
150,64038
151,63953
152,63991
153,63962
154,64002
155,63979
156,63996
157,63995
158,63999
159,63989
160,63972
161,64007
162,63992
163,63988
164,63981
165,64005
166,63984
167,64128
168,63935
169,64001
170,63936
171,63978
172,64061
173,64030
174,63887
175,63999
176,64007
177,63970
178,64087
179,63894
180,64114
181,63895
182,64052
183,63909
184,63993
185,64062
186,63912
187,64068
188,63990
189,63928
190,64037
191,63953
192,64057
193,63990
194,63927
195,64046
196,63952
197,64052
198,63920
199,64051
