0,159
1,178
2,145
3,211
4,187
5,141
6,142
7,170
8,155
9,158
10,140
11,145
12,135
13,154
14,144
15,133
16,143
17,143
18,139
19,139
20,138
21,145
22,142
23,141
24,168
25,138
26,138
27,132
28,137
29,140
30,137
31,136
32,138
33,141
34,135
35,143
36,144
37,211
38,136
39,136
40,137
41,139
42,137
43,138
44,159
45,156
46,144
47,137
48,135
49,140
50,135
51,187
52,136
53,139
54,189
55,144
56,142
57,160
58,137
59,138
60,140
61,141
62,135
63,165
64,211
65,140
66,137
67,135
68,239
69,198
70,204
71,235
72,181
73,135
74,141
75,165
76,227
77,211
78,151
79,141
80,141
81,198
82,143
83,148
84,141
85,156
86,138
87,134
88,135
89,145
90,138
91,138
92,136
93,183
94,193
95,144
96,149
97,158
98,232
99,328
