0,152
1,129
2,152
3,152
4,202
5,145
6,144
7,164
8,155
9,139
10,191
11,177
12,218
13,228
14,180
15,138
16,161
17,158
18,134
19,137
20,130
21,146
22,139
23,130
24,132
25,144
26,142
27,133
28,164
29,140
30,146
31,133
32,133
33,132
34,135
35,134
36,138
37,135
38,168
39,137
40,186
41,159
42,152
43,151
44,209
45,168
46,158
47,147
48,143
49,142
50,185
51,238
52,138
53,135
54,136
55,136
56,175
57,208
58,143
59,140
60,137
61,140
62,162
63,142
64,142
65,163
66,156
67,149
68,275
69,206
70,139
71,145
72,154
73,143
74,141
75,148
76,156
77,159
78,173
79,137
80,133
81,258
82,283
83,142
84,137
85,142
86,166
87,139
88,135
89,134
90,140
91,142
92,157
93,172
94,197
95,149
96,139
97,143
98,137
99,137
100,166
101,147
102,181
103,144
104,142
105,133
106,139
107,133
108,199
109,134
110,133
111,140
112,137
113,178
114,144
115,131
116,131
117,138
118,139
119,138
120,145
121,132
122,132
123,131
124,131
125,133
126,136
127,136
128,137
129,165
130,135
131,137
132,134
133,138
134,136
135,154
136,161
137,130
138,131
139,156
140,134
141,137
142,136
143,174
144,135
145,136
146,146
147,166
148,137
149,168
150,134
151,133
152,131
153,145
154,131
155,155
156,139
157,206
158,131
159,132
160,132
161,137
162,153
163,161
164,131
165,130
166,131
167,130
168,132
169,159
170,135
171,204
172,138
173,135
174,134
175,133
176,155
177,129
178,132
179,132
180,137
181,158
182,144
183,143
184,133
185,196
186,129
187,131
188,129
189,131
190,141
191,141
192,194
193,135
194,155
195,181
196,133
197,135
198,176
199,135
