0,24098
1,63924
2,64089
3,64005
4,63891
5,64080
6,63972
7,63999
8,64048
9,63866
10,64020
11,63953
12,64000
13,63975
14,64074
15,63983
16,63941
17,63982
18,64037
19,64037
20,64000
21,63994
22,63895
23,64033
24,63980
25,64012
26,64015
27,63912
28,64038
29,63992
30,63940
31,64064
32,63982
33,63944
34,63987
35,64115
36,63998
37,63992
38,63870
39,64024
40,64008
41,63956
42,64013
43,63925
44,63984
45,64056
46,63975
47,63995
48,64017
49,63925
50,64088
51,63924
52,64116
53,63958
54,63922
55,63938
56,63986
57,64044
58,63983
59,64005
60,64039
61,63962
62,63949
63,64117
64,63916
65,63930
66,64077
67,63887
68,64065
69,63950
70,63963
71,64134
72,63860
73,64021
74,64052
75,63978
76,64044
77,63860
78,63993
79,63995
80,64089
81,63965
82,64088
83,63840
84,63983
85,63984
86,63973
87,64084
88,63925
89,63986
90,64003
91,63973
92,64067
93,63928
94,64009
95,64017
96,64009
97,64002
98,63946
99,64029
100,63927
101,64030
102,64006
103,64040
104,63916
105,64027
106,63943
107,64009
108,63991
109,63968
110,64065
111,64008
112,64006
113,64025
114,63947
115,63997
116,63904
117,64001
118,63998
119,63971
120,64008
121,64079
122,63878
123,63993
124,64003
125,64042
126,63997
127,63970
128,64066
129,63877
130,64019
131,63965
132,64002
133,63978
134,63992
135,64051
136,63935
137,64009
138,63974
139,64055
140,63957
141,63980
142,63990
143,63989
144,64052
145,63942
146,63974
147,64005
148,63997
149,63996
150,64042
151,63985
152,63947
153,64063
154,63980
155,63930
156,64006
157,63959
158,64044
159,64005
160,63925
161,64019
162,63938
163,63970
164,64065
165,63913
166,63982
167,64015
168,64058
169,63924
170,63986
171,63987
172,64012
173,64033
174,63964
175,63964
176,64015
177,63942
178,64001
179,63992
180,63994
181,64024
182,63964
183,64036
184,63944
185,64036
186,63908
187,64018
188,63973
189,64066
190,63991
191,63985
192,63943
193,63986
194,63975
195,63994
196,64059
197,63957
198,64117
199,63849
