0,164
1,138
2,155
3,141
4,136
5,139
6,137
7,145
8,133
9,150
10,133
11,202
12,133
13,133
14,135
15,133
16,146
17,135
18,136
19,132
20,130
21,132
22,146
23,151
24,180
25,137
26,140
27,140
28,139
29,145
30,143
31,142
32,134
33,136
34,135
35,140
36,138
37,143
38,148
39,206
40,140
41,149
42,150
43,150
44,143
45,156
46,136
47,133
48,139
49,135
50,137
51,160
52,129
53,137
54,140
55,139
56,142
57,138
58,137
59,133
60,144
61,145
62,148
63,136
64,160
65,169
66,187
67,144
68,144
69,144
70,148
71,165
72,176
73,138
74,141
75,140
76,140
77,138
78,151
79,140
80,141
81,141
82,141
83,140
84,141
85,143
86,142
87,141
88,140
89,145
90,133
91,137
92,141
93,136
94,134
95,133
96,139
97,140
98,135
99,140
100,171
101,138
102,141
103,156
104,151
105,149
106,152
107,163
108,513
109,142
110,143
111,186
112,129
113,133
114,132
115,145
116,136
117,155
118,130
119,132
120,132
121,137
122,135
123,129
124,129
125,139
126,153
127,132
128,130
129,132
130,133
131,133
132,135
133,145
134,130
135,131
136,131
137,130
138,131
139,140
140,133
141,199
142,126
143,128
144,127
145,129
146,133
147,130
148,154
149,131
150,130
151,133
152,130
153,130
154,131
155,156
156,133
157,129
158,137
159,134
160,131
161,248
162,342
163,206
164,215
165,153
166,136
167,139
168,145
169,142
170,139
171,137
172,161
173,128
174,131
175,130
176,130
177,129
178,130
179,133
180,133
181,177
182,159
183,130
184,128
185,137
186,132
187,132
188,178
189,128
190,129
191,131
192,133
193,132
194,172
195,215
196,139
197,157
198,132
199,133
