0,12401
1,64063
2,64229
3,63781
4,64019
5,64008
6,63966
7,64011
8,63863
9,64105
10,63963
11,63962
12,64024
13,63952
14,63892
15,64170
16,64021
17,63930
18,63888
19,63986
20,64129
21,63924
22,64028
23,63924
24,63959
25,64001
26,63965
27,63950
28,64077
29,63961
30,64025
31,63998
32,63948
33,63990
34,63989
35,64030
36,63970
37,63971
38,64005
39,63943
40,64126
41,63976
42,64134
43,63820
44,64019
45,64032
46,64080
47,63923
48,64030
49,63976
50,63969
51,63919
52,64087
53,63961
54,64089
55,63960
56,63927
57,63969
58,63999
59,64026
60,63927
61,64043
62,63948
63,64082
64,63852
65,64026
66,63982
67,63998
68,64046
69,64065
70,63884
71,64075
72,63842
73,64091
74,64021
75,63880
76,64115
77,64004
78,63872
79,64017
80,63969
81,64085
82,63984
83,63976
84,64037
85,63923
86,63971
87,64045
88,63993
89,63904
90,64028
91,64154
92,64173
93,63826
94,63887
95,64015
96,64063
97,63917
98,64002
99,64004
100,64030
101,63922
102,64172
103,63846
104,64073
105,63893
106,63971
107,63918
108,64043
109,64096
110,63968
111,63955
112,63983
113,64103
114,63981
115,63799
116,64105
117,64011
118,64026
119,63824
120,64162
121,64012
122,63977
123,64001
124,63975
125,63877
126,64010
127,64143
128,63920
129,64013
130,63855
131,63991
132,64078
133,63957
134,64143
135,63943
136,63910
137,64127
138,64010
139,63751
140,64152
141,63960
142,64059
143,63941
144,63894
145,64137
146,63907
147,63936
148,64052
149,63917
150,64001
151,64043
152,63969
153,64005
154,63977
155,64036
156,64005
157,63997
158,63964
159,64128
160,64003
161,63908
162,63993
163,64006
164,63943
165,64009
166,63894
167,64122
168,63995
169,63879
170,64081
171,63910
172,64085
173,64014
174,63934
175,64036
176,64047
177,63905
178,64036
179,64089
180,63971
181,63960
182,63894
183,64116
184,63918
185,64041
186,63849
187,64080
188,63892
189,64165
190,63949
191,64014
192,63907
193,64075
194,63912
195,64072
196,64030
197,63837
198,64137
199,63954
